Transaction ID,Date,Customer Name,City,State,Product Type,Product Name,Quantity Sold,Unit Price (INR),Total Sale Amount (INR),Payment Mode,Discount (%),Final Price (INR),Seller Name
481b7591-ead6-4b4c-8509-1478514fd3bb,2025-01-06,Umang Datta,Chennai,Tamil Nadu,Supplement,Creatine,3,647,1941,Credit Card,12,1708.08,Nakul Majumdar
9b3049fe-12c4-4736-84fd-1e71a69be96d,2025-01-24,Rhea Chaudhari,Ahmedabad,Maharashtra,Supplement,Multivitamins,3,1328,3984,UPI,13,3466.08,Samarth Bhagat
91ed3e81-c09b-46b0-8541-8cb3fe3c11ec,2025-02-22,Mehul Talwar,Pune,Maharashtra,Equipment,Treadmill,4,5275,21100,UPI,12,18568.0,Ivana Ganguly
81771dfe-6e59-4074-91db-896001595042,2025-03-07,Trisha Bawa,Hyderabad,Maharashtra,Equipment,Rowing Machine,2,11339,22678,Net Banking,2,22224.44,Divit Thakkar
2bb4c3d5-1ca6-41fe-9620-072503d5ce4f,2025-01-03,Vardaniya Kalita,Hyderabad,Telangana,Supplement,Whey Protein,2,2422,4844,Net Banking,2,4747.12,Tejas Shukla
acdd3cb4-882b-437f-91e9-9b080cb3bbd0,2025-02-23,Eva Mander,Ahmedabad,Maharashtra,Equipment,Dumbbells,4,2285,9140,UPI,2,8957.2,Arnav Buch
9143d135-e50b-4fbe-bac0-e4a36b64948b,2025-02-25,Vidur Mall,Kolkata,Delhi,Supplement,Creatine,2,3346,6692,Net Banking,2,6558.16,Samaira Reddy
2a82b6f4-0c67-49cd-906e-182c4a6d1fbd,2025-03-20,Ira Konda,Bangalore,Delhi,Equipment,Resistance Bands,2,6886,13772,Debit Card,3,13358.84,Zain Lad
1bde6b77-ae2e-4000-9d54-1c24c5c3e71c,2025-01-04,Krish Savant,Delhi,Delhi,Supplement,Multivitamins,1,2560,2560,Net Banking,8,2355.2,Ira Gour
aae4ddb6-f42e-4bc1-aeca-ddaf1a21f585,2025-02-26,Dishani Joshi,Bangalore,Telangana,Supplement,BCAA,2,1541,3082,Credit Card,1,3051.18,Sahil Singhal
4df4ba3f-62f8-4495-9637-ed060dfae480,2025-02-08,Renee Raj,Pune,Delhi,Supplement,Pre-Workout,3,1240,3720,Credit Card,4,3571.2,Zeeshan Choudhury
45560034-a14f-4ee2-934e-01b6d9550672,2025-01-05,Yasmin Deol,Ahmedabad,Delhi,Supplement,Fish Oil,1,1787,1787,Cash,3,1733.39,Ira Agrawal
cb37d775-14ad-429c-a50e-975ea9d91361,2025-01-09,Rohan Taneja,Mumbai,Telangana,Equipment,Dumbbells,1,10046,10046,Cash,11,8940.94,Devansh Uppal
87bb1f2b-e91e-4d9b-8ac3-8d3b24d1fc96,2025-01-16,Vritika Venkatesh,Kolkata,Maharashtra,Supplement,Multivitamins,3,2063,6189,Credit Card,6,5817.66,Indranil Wali
3ef6acf9-9c31-4aae-8cc4-854cca693fe4,2025-02-03,Indranil Ratta,Chennai,Telangana,Equipment,Kettlebell,1,7125,7125,UPI,11,6341.25,Jayan Gopal
97612270-5048-4a75-b86e-14dfce413232,2025-01-02,Pari Gara,Pune,Tamil Nadu,Equipment,Bench Press,3,14984,44952,Net Banking,0,44952.0,Raunak Bandi
bea2e8ce-60ea-481f-9d1b-30392a885a8e,2025-03-04,Taran Kala,Delhi,Gujarat,Equipment,Bench Press,1,5244,5244,Cash,4,5034.24,Emir Sachar
e41ba103-8c6a-4b4d-9cca-2cdb5165f404,2025-02-20,Ishaan Brar,Ahmedabad,West Bengal,Equipment,Rowing Machine,4,19358,77432,UPI,7,72011.76,Jayesh Sagar
7173e2a1-509b-44bc-91a3-b941d37256e6,2025-02-26,Jhanvi Savant,Bangalore,Maharashtra,Supplement,Multivitamins,1,4737,4737,UPI,7,4405.41,Baiju Gola
6bad1463-10a3-478b-b9e0-b37da491603a,2025-02-17,Jivin Mandal,Ahmedabad,Telangana,Equipment,Bench Press,1,13033,13033,Net Banking,11,11599.369999999999,Rati Vyas
0538f7ea-4aff-4aa9-8d26-9f9d089237a4,2025-01-01,Chirag Sehgal,Kolkata,Delhi,Supplement,Whey Protein,3,742,2226,Credit Card,12,1958.88,Vaibhav Bhandari
b61e562e-f489-4e54-93cf-3a11a87f0da3,2025-03-20,Arhaan Goda,Pune,Karnataka,Equipment,Kettlebell,4,14891,59564,Net Banking,2,58372.72,Ivana Madan
ee181f4e-ca54-4b53-a4a5-948e56cfc90d,2025-03-07,Darshit Dora,Ahmedabad,Delhi,Supplement,Whey Protein,4,4607,18428,UPI,11,16400.92,Nirvi Thakkar
a33d12cd-0a5b-49e4-9a62-e4599de8d444,2025-03-05,Anay Lad,Mumbai,Maharashtra,Supplement,Creatine,4,4363,17452,UPI,12,15357.76,Vedika Gara
dff57a04-cdc9-4982-a991-692483bf9bbe,2025-01-20,Akarsh Dash,Delhi,Tamil Nadu,Equipment,Kettlebell,3,2134,6402,Debit Card,11,5697.78,Jiya Tripathi
e63b2355-5bfa-40ed-ab76-3e93b95d94ef,2025-02-19,Anahi Raval,Chennai,Telangana,Equipment,Bench Press,1,18967,18967,UPI,6,17828.98,Prisha Kothari
7ed853fc-90df-4f72-a31c-e865b1c0ff45,2025-02-06,Madhav Sarin,Mumbai,Tamil Nadu,Supplement,Whey Protein,2,4497,8994,Credit Card,5,8544.3,Aarav Batta
d4d26f3d-ccce-47dc-9df0-3b38aee7cb87,2025-01-23,Zara Dora,Mumbai,Tamil Nadu,Supplement,Whey Protein,2,1617,3234,UPI,9,2942.94,Sana Shere
